grid_sorted_desc,image_voxels,latent_grid_sorted_asc,latent_voxels,over_threshold,n_total,n_train,n_val,n_test,share_of_corpus_pct
128x128x128,2097152,32x32x32,32768,False,125,122,3,0,0.0177
256x128x128,4194304,64x32x32,65536,False,404,345,27,32,0.0573
256x256x128,8388608,64x64x32,131072,False,267664,242587,10258,14819,37.9529
384x256x128,12582912,96x64x32,196608,False,3806,3396,169,241,0.5397
256x256x256,16777216,64x64x64,262144,True,40889,37094,1517,2278,5.7978
512x256x128,16777216,128x64x32,262144,True,11,7,4,0,0.0016
384x384x128,18874368,96x96x32,294912,True,67196,60552,2726,3918,9.5279
384x256x256,25165824,96x64x64,393216,True,11421,10329,454,638,1.6194
512x384x128,25165824,128x96x32,393216,True,23337,21162,926,1249,3.309
640x384x128,31457280,160x96x32,491520,True,2,2,0,0,0.0003
512x512x128,33554432,128x128x32,524288,True,194085,176025,7251,10809,27.5199
384x384x256,37748736,96x96x64,589824,True,15836,14328,566,942,2.2454
640x512x128,41943040,160x128x32,655360,True,1297,1113,81,103,0.1839
768x512x128,50331648,192x128x32,786432,True,2,1,1,0,0.0003
512x384x256,50331648,128x96x64,786432,True,9,8,0,1,0.0013
640x640x128,52428800,160x160x32,819200,True,7980,7213,301,466,1.1315
384x384x384,56623104,96x96x96,884736,True,12370,11052,511,807,1.754
768x640x128,62914560,192x160x32,983040,True,2781,2265,199,317,0.3943
512x512x256,67108864,128x128x64,1048576,True,22890,20805,795,1290,3.2456
896x640x128,73400320,224x160x32,1146880,True,6,5,0,1,0.0009
768x768x128,75497472,192x192x32,1179648,True,18359,16192,821,1346,2.6032
640x512x256,83886080,160x128x64,1310720,True,4,4,0,0,0.0006
1024x640x128,83886080,256x160x32,1310720,True,1,1,0,0,0.0001
896x768x128,88080384,224x192x32,1376256,True,46,38,2,6,0.0065
640x384x384,94371840,160x96x96,1474560,True,5,3,1,1,0.0007
512x512x384,100663296,128x128x96,1572864,True,79,70,2,7,0.0112
1024x768x128,100663296,256x192x32,1572864,True,8,7,1,0,0.0011
896x896x128,102760448,224x224x32,1605632,True,161,148,11,2,0.0228
640x640x256,104857600,160x160x64,1638400,True,588,515,26,47,0.0834
1024x896x128,117440512,256x224x32,1835008,True,89,69,12,8,0.0126
768x640x256,125829120,192x160x64,1966080,True,1,0,0,1,0.0001
1024x1024x128,134217728,256x256x32,2097152,True,12108,11375,278,455,1.7168
768x768x256,150994944,192x192x64,2359296,True,40,32,3,5,0.0057
640x640x384,157286400,160x160x96,2457600,True,601,541,25,35,0.0852
640x512x512,167772160,160x128x128,2621440,True,6,5,0,1,0.0009
896x896x256,205520896,224x224x64,3211264,True,1,1,0,0,0.0001
768x768x384,226492416,192x192x96,3538944,True,10,6,0,4,0.0014
1024x1024x256,268435456,256x256x64,4194304,True,1036,927,32,77,0.1469
