modality,plane,n_total,n_over,over_share_pct
T2w,AXIAL,108990,81681,74.9436
FLAIR,SAGITTAL,74239,61103,82.3058
T1w,AXIAL,113013,59304,52.4754
FLAIR,AXIAL,67973,46822,68.8832
T1w,SAGITTAL,93883,41626,44.3382
SWI,AXIAL,71554,36105,50.4584
T1w,CORONAL,48222,35155,72.9024
FLAIR,CORONAL,33353,22766,68.2577
T2w,CORONAL,50474,20678,40.9676
T2w,SAGITTAL,30913,19279,62.3653
T2w,OBLIQUE,4529,3548,78.3396
FLAIR,OBLIQUE,3022,2490,82.3958
T1w,OBLIQUE,3511,1984,56.5081
SWI,OBLIQUE,1407,591,42.0043
MRA,SAGITTAL,109,103,94.4954
MRA,CORONAL,12,11,91.6667
SWI,CORONAL,5,4,80.0
MRA,AXIAL,43,4,9.3023
SWI,SAGITTAL,2,1,50.0
